score,title,word,sentence
3,Sleeping Beauty,touched,So the fairy touched with her magic wand all in the palace except the king and the queen  ~newline~ Ladies  gentlemen  pages  waiting maids  footmen  grooms in the stable  and even the horses she touched them all  ~newline~ They all went to sleep just where they were when the wand touched them 
3,Sleeping Beauty,way,Let me see if I can spin also   She had just taken the spindle in her hand when  in some way  it pricked her finger  ~newline~ He leaped from his horse and began to force his way through the wood  ~newline~ To his astonishment  the stiff branches gave way  and then closed again  allowing none of his companions to follow 
3,Sleeping Beauty,even,He invited all the fairies he could find in the kingdom there were seven of them to come to the christening as godmothers  ~newline~ Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ II The king  hoping to save his child even from this misfortune  commanded that all spindles should be burned  ~newline~ One day when the princess was seventeen years of age  the king and queen left her alone in the castle  ~newline~ Ladies  gentlemen  pages  waiting maids  footmen  grooms in the stable  and even the horses she touched them all  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep  ~newline~ That very evening the prince and princess were married 
3,Sleeping Beauty,son,At the end of that time  a king s son will find her and awaken her   Immediately all the fairies vanished  ~newline~ One day the son of the king who was then reigning was out hunting  and he saw towers rising above a thick wood  ~newline~ It was said that she must sleep there a hundred years  when she would be awakened by a king s son   At this the young prince determined to find out the truth for himself 
3,Sleeping Beauty,done,I cannot undo what my elder sister has done  the princess shall indeed prick her finger with the spindle  but she shall not die  ~newline~ This was done  but it was all in vain  ~newline~ The old woman called for help  and people came from all sides  but nothing could be done 
3,Sleeping Beauty,spindle,Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ I cannot undo what my elder sister has done  the princess shall indeed prick her finger with the spindle  but she shall not die  ~newline~ II The king  hoping to save his child even from this misfortune  commanded that all spindles should be burned  ~newline~ Let me see if I can spin also   She had just taken the spindle in her hand when  in some way  it pricked her finger 
3,Sleeping Beauty,finger,Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ I cannot undo what my elder sister has done  the princess shall indeed prick her finger with the spindle  but she shall not die  ~newline~ Let me see if I can spin also   She had just taken the spindle in her hand when  in some way  it pricked her finger 
3,Sleeping Beauty,seventeen,Shaking her head spitefully  she said   When the princess is seventeen years old  she shall prick her finger with a spindle  andshe shall die   At this all the guests trembled  and many of them began to weep  ~newline~ One day when the princess was seventeen years of age  the king and queen left her alone in the castle  ~newline~ At last the prince came to a chamber of gold  where he saw upon a bed the fairest sight one ever beheld a princess of about seventeen years who looked as if she had just fallen asleep 
3,Sleeping Beauty,grimm,
3,Sleeping Beauty,brothers,
3,Sleeping Beauty,would,He hoped that each would give the princess a good gift  ~newline~ She knew that the princess must sleep a hundred years and would be frightened if she found herself alone when she awoke  ~newline~ It was said that she must sleep there a hundred years  when she would be awakened by a king s son   At this the young prince determined to find out the truth for himself 
3,Sleeping Beauty,find,He invited all the fairies he could find in the kingdom there were seven of them to come to the christening as godmothers  ~newline~ At the end of that time  a king s son will find her and awaken her   Immediately all the fairies vanished  ~newline~ It was said that she must sleep there a hundred years  when she would be awakened by a king s son   At this the young prince determined to find out the truth for himself 
